DATA_LOB,DATA_DMN,DATA_SUB_DMN,DATA_BUS_ELEM,DB_NAME,SRC_TBL,INCR_DT_COL,TBL_CDE,INCR_DT_COND,UNQ_INDEX_COLS,AUTO_PRFL_FREQ,AUTO_PRFL_SCHD_TS,EMAIL_DIST,IS_ACTIVE_FLG,IS_COMPLETE_FLG,IS_CRITICAL_FLG,DATA_SRC,PRODUCT_NAME,PRODUCT_TYPE,PRODUCT_AREA,BUSINESS_PROGRAM
VCG,Marketing,5G_REPORTING_TIER1,5G_REPORTING_TIER1,NTL_PRD_ALLVM,CJCM_CASE_HIST_V,,,,CASE_ID,Daily,10 11 * * *,"abhinav.batra1@verizon.com,ashish.k.singh@verizon.com",Y,N,Y,TD,5G,TIER1,CORE SERVICES,5G_Reporting_Tier1
VCG,Marketing,5G_REPORTING_TIER1,5G_REPORTING_TIER1,NTL_PRD_ALLVM,CJCM_CASE_STATUS_V,,,,CASE_ID,Daily,10 11 * * *,"abhinav.batra1@verizon.com,ashish.k.singh@verizon.com",Y,N,Y,TD,5G,TIER1,CORE SERVICES,5G_Reporting_Tier1
VCG,Marketing,5G_REPORTING_TIER1,5G_REPORTING_TIER1,NTL_PRD_ALLVM,CUST_ACCT_ADDR_V,,,,"CUST_ID,ACCT_NUM,LAST_UPD_DT",Daily,10 11 * * *,"abhinav.batra1@verizon.com,ashish.k.singh@verizon.com",Y,N,Y,TD,5G,TIER1,CORE SERVICES,5G_Reporting_Tier1
VCG,Marketing,5G_REPORTING_TIER1,5G_REPORTING_TIER1,NTL_PRD_ALLVM,CUST_ACCT_EMAIL_V,,,,"EMAIL_ADDR,CUST_ID,ACCT_NUM",Daily,10 11 * * *,"abhinav.batra1@verizon.com,ashish.k.singh@verizon.com",Y,N,Y,TD,5G,TIER1,CORE SERVICES,5G_Reporting_Tier1
VCG,Marketing,5G_REPORTING_TIER1,5G_REPORTING_TIER1,NTL_PRD_ALLVM,FIXED_5G_CUST_QUALIFY_ADDR_v,,,,"QUALIFY_CHECK_DT,LOCUS_ID,EVENT_CORRELATION_ID,ADDR_LINE1,Create_Dt,IP_ADDR,ADDR_TYPE,PROCESS",Daily,10 11 * * *,"abhinav.batra1@verizon.com,ashish.k.singh@verizon.com",Y,N,Y,TD,5G,TIER1,CORE SERVICES,5G_Reporting_Tier1
VCG,Marketing,5G_REPORTING_TIER1,5G_REPORTING_TIER1,NTL_PRD_ALLVM,FIXED_5G_DVC_DETAIL_V,,,,"CUST_ID,ACCT_NUM,CUST_LINE_SEQ_ID,DEVICE_ID,EQUIPMENT_EFF_TS",Daily,10 11 * * *,"abhinav.batra1@verizon.com,ashish.k.singh@verizon.com",Y,N,Y,TD,5G,TIER1,CORE SERVICES,5G_Reporting_Tier1
VCG,Marketing,5G_REPORTING_TIER1,5G_REPORTING_TIER1,NTL_PRD_ALLVM,FIXED_5G_IA_INSTALL_DETAIL_V,,,,"STORE_NUM,INVC_NUM",Daily,10 11 * * *,"abhinav.batra1@verizon.com,ashish.k.singh@verizon.com",Y,N,Y,TD,5G,TIER1,CORE SERVICES,5G_Reporting_Tier1
VCG,Marketing,5G_REPORTING_TIER1,5G_REPORTING_TIER1,NTL_PRD_ALLVM,FIXED_5G_ORDER_V,,,,ORDER_ID,Daily,10 11 * * *,"abhinav.batra1@verizon.com,ashish.k.singh@verizon.com",Y,N,Y,TD,5G,TIER1,CORE SERVICES,5G_Reporting_Tier1
VCG,Marketing,5G_REPORTING_TIER1,5G_REPORTING_TIER1,NTL_PRD_ALLVM,FIXED_5G_VPM_ORDER_TRACKING_V,,,,"VPM_ORDER_NUM,VPM_JOB_ID",Daily,10 11 * * *,"abhinav.batra1@verizon.com,ashish.k.singh@verizon.com",Y,N,Y,TD,5G,TIER1,CORE SERVICES,5G_Reporting_Tier1
VCG,Marketing,5G_REPORTING_TIER1,5G_REPORTING_TIER1,NTL_PRD_ALLVM,POS_FIXED_5G_ORDER_V,,,,"INVC_NUM,STORE_NUM",Daily,10 11 * * *,"abhinav.batra1@verizon.com,ashish.k.singh@verizon.com",Y,N,Y,TD,5G,TIER1,CORE SERVICES,5G_Reporting_Tier1
